cities,x,y
Gilgit,152,253
Mingaora,83,194
Mardan,72,175
Peshawar,47,146
Muzaffarabad,132,184
Islamabad,116,152
Rawalpindi,70,127
Sialkot,173,100
Sargodha,97,74
Faisalabad,55,47
Lahore,165,54
Okara,132,23
Vehari,92,-35
Multan,18,-11
Bahawalpur,42,-47
Rahimyar Khan,5,-90
Zhob,-39,35
Chaman,-141,18
Quetta,-124,-15
Dera Murad Jamali,-115,-92
Khuzdar,-162,-118
Turbat,-280,-191
Gwadar,-315,-228
Sukkur,-50,-121
Larkana,-120,-150
Nawabshah,-74,-190
Mirpur Khas,-44,-220
Hyderabad,-110,-228
Karachi,-128,-250
